,Bus Number,CSCR_min,CSCR_max
0,1003,2.83,3.3
1,1004,2.83,3.3
2,1032,2.83,3.3
3,1034,2.83,3.3
4,1101,2.83,3.3
5,1131,2.83,3.3
6,1232,2.83,3.3
7,1301,2.83,3.3
8,1303,2.83,3.3
9,1331,2.83,3.3
10,1333,2.83,3.3
11,1401,2.83,3.3
12,1402,2.83,3.3
13,1431,2.83,3.3
14,2030,2.83,3.3
15,2130,2.83,3.3
16,2202,2.83,3.3
17,2203,2.83,3.3
18,2233,2.83,3.3
19,2332,2.83,3.3
20,2400,2.83,3.3
21,2401,2.83,3.3
22,2402,2.83,3.3
23,2403,2.83,3.3
24,2405,2.83,3.3
25,2406,2.83,3.3
26,2407,2.83,3.3
27,2408,2.83,3.3
28,2409,2.83,3.3
29,2410,2.83,3.3
30,2411,2.83,3.3
31,2431,2.83,3.3
32,2434,2.83,3.3
33,2438,2.83,3.3
34,2439,2.83,3.3
35,2502,2.83,3.3
36,2503,2.83,3.3
37,2533,2.83,3.3
38,2613,2.83,3.3
39,2615,2.83,3.3
40,2618,2.83,3.3
41,2630,2.83,3.3
42,2631,2.83,3.3
43,2634,2.83,3.3
44,2637,2.83,3.3
45,2638,2.83,3.3
46,3101,2.83,3.3
47,3103,2.83,3.3
48,3104,2.83,3.3
49,3133,2.83,3.3
50,3135,2.83,3.3
51,3201,2.83,3.3
52,3202,2.83,3.3
53,3203,2.83,3.3
54,3204,2.83,3.3
55,3205,2.83,3.3
56,3234,2.83,3.3
57,3302,2.83,3.3
58,3303,2.83,3.3
59,3304,2.83,3.3
60,3305,2.83,3.3
61,3333,2.83,3.3
62,3401,2.83,3.3
63,3403,2.83,3.3
64,3404,2.83,3.3
65,3405,2.83,3.3
66,3432,2.83,3.3
67,3433,2.83,3.3
68,3501,2.83,3.3
69,3531,2.83,3.3
70,3631,2.83,3.3
71,3731,2.83,3.3
72,3805,2.83,3.3
73,3831,2.83,3.3
74,3835,2.83,3.3
75,3836,2.83,3.3
76,3907,2.83,3.3
77,3913,2.83,3.3
78,3918,2.83,3.3
79,3923,2.83,3.3
80,3924,2.83,3.3
81,3931,2.83,3.3
82,3932,2.83,3.3
83,3933,2.83,3.3
84,4009,2.83,3.3
85,4031,2.83,3.3
86,4035,2.83,3.3
87,4039,2.83,3.3
88,4131,2.83,3.3
89,4132,2.83,3.3
90,4201,2.83,3.3
91,4231,2.83,3.3
92,4232,2.83,3.3
93,5031,2.83,3.3
94,5032,2.83,3.3
95,6104,2.83,3.3
96,6132,2.83,3.3
97,6204,2.83,3.3
98,6231,2.83,3.3
99,6235,2.83,3.3
100,6303,2.83,3.3
101,6333,2.83,3.3
102,6335,2.83,3.3
103,6401,2.83,3.3
104,6433,2.83,3.3
105,6510,2.83,3.3
106,6533,2.83,3.3
107,7001,2.83,3.3
108,7031,2.83,3.3
109,7032,2.83,3.3
110,8003,2.83,3.3
111,8004,2.83,3.3
112,8005,2.83,3.3
113,8033,2.83,3.3
114,8034,2.83,3.3
